run,horizon_minutes,strategy,session_id,decision_time,entry_time,exit_time,direction,midpoint_change_cad,spread_crossing_cad,touch_change_cad,additional_slippage_cad,fees_cad,net_benchmark_cad,status,stress_net_cad,delayed_exit_minutes,mom_z_30,observed_direction,alignment,seed
base-1729,60,model,2025-02-19,2025-02-19 14:05:00+00:00,2025-02-19 14:06:00+00:00,2025-02-19 15:05:00+00:00,1,74.99999999998863,15.000000000000568,59.99999999998806,10.0,4.0,45.99999999998806,price_touch_benchmark_not_verified_fills,15.999999999988065,0.0,2.219283080479917,1,continuation,1729
base-1729,60,model,2025-02-19,2025-02-19 15:35:00+00:00,2025-02-19 15:36:00+00:00,2025-02-19 16:35:00+00:00,-1,544.9999999999875,15.000000000000568,529.9999999999869,10.0,4.0,515.9999999999869,price_touch_benchmark_not_verified_fills,485.9999999999869,0.0,1.1080768841089896,1,opposing,1729
base-1729,60,model,2025-02-19,2025-02-19 16:40:00+00:00,2025-02-19 16:41:00+00:00,2025-02-19 17:40:00+00:00,-1,205.0000000000125,15.000000000000568,190.00000000001197,10.0,4.0,176.00000000001194,price_touch_benchmark_not_verified_fills,146.00000000001194,0.0,-3.009830283910015,-1,continuation,1729
base-1729,60,model,2025-02-19,2025-02-19 17:50:00+00:00,2025-02-19 17:51:00+00:00,2025-02-19 18:50:00+00:00,-1,-20.000000000010232,10.000000000005116,-30.000000000015348,10.0,4.0,-44.00000000001535,price_touch_benchmark_not_verified_fills,-74.00000000001535,0.0,-2.015928218810622,-1,continuation,1729
base-1729,60,model,2025-02-19,2025-02-19 18:55:00+00:00,2025-02-19 18:56:00+00:00,2025-02-19 19:55:00+00:00,-1,-30.000000000001137,10.000000000005116,-40.00000000000625,10.0,4.0,-54.00000000000625,price_touch_benchmark_not_verified_fills,-84.00000000000625,0.0,-1.7539931970553189,-1,continuation,1729
base-1729,60,model,2025-02-20,2025-02-20 14:05:00+00:00,2025-02-20 14:06:00+00:00,2025-02-20 15:05:00+00:00,-1,-4.9999999999954525,15.000000000000568,-19.99999999999602,10.0,4.0,-33.99999999999602,price_touch_benchmark_not_verified_fills,-63.99999999999602,0.0,0.5986060489042679,0,balanced_origin,1729
base-1729,60,model,2025-02-20,2025-02-20 15:25:00+00:00,2025-02-20 15:26:00+00:00,2025-02-20 16:25:00+00:00,-1,80.0000000000125,19.99999999999602,60.000000000016485,10.0,4.0,46.000000000016485,price_touch_benchmark_not_verified_fills,16.000000000016485,0.0,0.197963728985769,0,balanced_origin,1729
base-1729,60,model,2025-02-20,2025-02-20 17:05:00+00:00,2025-02-20 17:06:00+00:00,2025-02-20 18:05:00+00:00,-1,9.999999999990903,19.99999999998181,-9.999999999990903,10.0,4.0,-23.999999999990905,price_touch_benchmark_not_verified_fills,-53.999999999990905,0.0,-2.343561844343104,-1,continuation,1729
base-1729,60,model,2025-02-20,2025-02-20 18:10:00+00:00,2025-02-20 18:11:00+00:00,2025-02-20 19:10:00+00:00,-1,500.0,19.99999999999602,480.000000000004,10.0,4.0,466.000000000004,price_touch_benchmark_not_verified_fills,436.000000000004,0.0,-0.0557131602850709,0,balanced_origin,1729
base-1729,60,model,2025-02-20,2025-02-20 19:25:00+00:00,2025-02-20 19:26:00+00:00,2025-02-20 20:25:00+00:00,-1,-49.99999999998295,10.000000000019329,-60.000000000002274,10.0,4.0,-74.00000000000227,price_touch_benchmark_not_verified_fills,-104.00000000000227,0.0,0.0557461637594916,0,balanced_origin,1729
base-1729,60,model,2025-02-21,2025-02-21 14:05:00+00:00,2025-02-21 14:06:00+00:00,2025-02-21 15:05:00+00:00,-1,109.99999999998522,9.999999999990903,99.99999999999432,10.0,4.0,85.99999999999432,price_touch_benchmark_not_verified_fills,55.99999999999432,0.0,-1.7162620439110443,-1,continuation,1729
base-1729,60,model,2025-02-21,2025-02-21 15:15:00+00:00,2025-02-21 15:16:00+00:00,2025-02-21 16:15:00+00:00,-1,5.000000000023874,15.00000000001478,-9.999999999990903,10.0,4.0,-23.999999999990905,price_touch_benchmark_not_verified_fills,-53.999999999990905,0.0,-0.3183937349360941,0,balanced_origin,1729
base-1729,60,model,2025-02-21,2025-02-21 16:20:00+00:00,2025-02-21 16:21:00+00:00,2025-02-21 17:20:00+00:00,-1,-45.00000000001592,14.999999999986358,-60.000000000002274,10.0,4.0,-74.00000000000227,price_touch_benchmark_not_verified_fills,-104.00000000000227,0.0,-1.3890254844036365,-1,continuation,1729
base-1729,60,model,2025-02-21,2025-02-21 17:50:00+00:00,2025-02-21 17:51:00+00:00,2025-02-21 18:50:00+00:00,1,24.999999999977263,14.999999999986358,9.999999999990903,10.0,4.0,-4.000000000009095,price_touch_benchmark_not_verified_fills,-34.000000000009095,0.0,1.1258677209159762,1,continuation,1729
base-1729,60,model,2025-02-21,2025-02-21 18:55:00+00:00,2025-02-21 18:56:00+00:00,2025-02-21 19:55:00+00:00,-1,-9.999999999990903,19.99999999999602,-29.99999999998693,10.0,4.0,-43.999999999986926,price_touch_benchmark_not_verified_fills,-73.99999999998693,0.0,0.8789859648322348,1,opposing,1729
base-1729,60,model,2025-02-24,2025-02-24 14:05:00+00:00,2025-02-24 14:06:00+00:00,2025-02-24 15:05:00+00:00,1,-9.999999999990903,10.000000000019329,-20.000000000010232,10.0,4.0,-34.00000000001023,price_touch_benchmark_not_verified_fills,-64.00000000001023,0.0,1.1520593618765518,1,continuation,1729
