decision_time,session_id,segment_id,valid,state_id,state_age_minutes,flow_available,flow_pressure,absorption,response_z5,vwap_available,recovery_active,recovery_failed_now,recovery_failures,reference_available,reference_residual_z,minutes_remaining,minutes_from_segment_open,state_0,state_1,state_2,state_3,state_4
2025-01-06 13:00:00+00:00,2025-01-06,2025-01-06:1,False,-1,0,False,,,,False,0,0,0,False,,480.0,0.0,,,,,
2025-01-06 13:05:00+00:00,2025-01-06,2025-01-06:1,False,-1,0,False,,,,False,0,0,0,False,,475.0,5.0,,,,,
2025-01-06 13:10:00+00:00,2025-01-06,2025-01-06:1,False,-1,0,False,,,,False,0,0,0,False,,470.0,10.0,,,,,
2025-01-06 13:15:00+00:00,2025-01-06,2025-01-06:1,False,-1,0,False,,,,False,0,0,0,False,,465.0,15.0,,,,,
2025-01-06 13:20:00+00:00,2025-01-06,2025-01-06:1,False,-1,0,False,,,,False,0,0,0,False,,460.0,20.0,,,,,
2025-01-06 13:25:00+00:00,2025-01-06,2025-01-06:1,False,-1,0,False,,,,False,0,0,0,False,,455.0,25.0,,,,,
2025-01-06 13:30:00+00:00,2025-01-06,2025-01-06:1,False,-1,0,False,,,,False,0,0,0,False,,450.0,30.0,,,,,
2025-01-06 13:35:00+00:00,2025-01-06,2025-01-06:1,False,-1,0,False,,,,False,0,0,0,False,,445.0,35.0,,,,,
2025-01-06 13:40:00+00:00,2025-01-06,2025-01-06:1,False,-1,0,False,,,,False,0,0,0,False,,440.0,40.0,,,,,
2025-01-06 13:45:00+00:00,2025-01-06,2025-01-06:1,False,-1,0,False,,,,False,0,0,0,False,,435.0,45.0,,,,,
2025-01-06 13:50:00+00:00,2025-01-06,2025-01-06:1,False,-1,0,False,,,,False,0,0,0,False,,430.0,50.0,,,,,
2025-01-06 13:55:00+00:00,2025-01-06,2025-01-06:1,False,-1,0,False,,,,False,0,0,0,False,,425.0,55.0,,,,,
2025-01-06 14:00:00+00:00,2025-01-06,2025-01-06:1,False,-1,0,False,,,,False,0,0,0,False,,420.0,60.0,,,,,
2025-01-06 14:05:00+00:00,2025-01-06,2025-01-06:1,True,0,5,False,,,-0.209937383948668,True,0,0,0,False,,415.0,65.0,1.0,0.0,0.0,0.0,0.0
2025-01-06 14:10:00+00:00,2025-01-06,2025-01-06:1,True,0,10,False,,,1.4283647395595103,True,0,0,0,False,,410.0,70.0,1.0,0.0,0.0,0.0,0.0
2025-01-06 14:15:00+00:00,2025-01-06,2025-01-06:1,True,0,15,False,,,-0.39169005016771724,True,0,0,0,False,,405.0,75.0,1.0,0.0,0.0,0.0,0.0
2025-01-06 14:20:00+00:00,2025-01-06,2025-01-06:1,True,0,20,False,,,-0.39067547167951855,True,0,0,0,False,,400.0,80.0,1.0,0.0,0.0,0.0,0.0
2025-01-06 14:25:00+00:00,2025-01-06,2025-01-06:1,True,0,25,False,,,0.0,True,0,0,0,False,,395.0,85.0,1.0,0.0,0.0,0.0,0.0
2025-01-06 14:30:00+00:00,2025-01-06,2025-01-06:1,True,0,30,False,,,-0.8460937423406161,True,0,0,0,False,,390.0,90.0,1.0,0.0,0.0,0.0,0.0
2025-01-06 14:35:00+00:00,2025-01-06,2025-01-06:1,True,0,35,False,,,0.9121197274363535,True,0,0,0,False,,385.0,95.0,1.0,0.0,0.0,0.0,0.0
2025-01-06 14:40:00+00:00,2025-01-06,2025-01-06:1,True,3,5,False,,,-2.9109902424260117,True,0,0,0,False,,380.0,100.0,0.0,0.0,0.0,1.0,0.0
